age,sex,webhltbeh,wwwhr,happy,health,life
20.0,male,,,pretty happy,excellent,
42.0,female,,,pretty happy,good,
20.0,male,,,pretty happy,excellent,
53.0,female,,,pretty happy,excellent,
40.0,male,,,pretty happy,good,
53.0,male,,,very happy,good,
35.0,male,,,pretty happy,excellent,
20.0,female,,,not too happy,good,
69.0,female,,,pretty happy,good,
60.0,male,,,pretty happy,good,
45.0,male,,,not too happy,good,
43.0,male,,,pretty happy,fair,
72.0,male,,,not too happy,excellent,
28.0,female,,,very happy,excellent,
35.0,female,,,pretty happy,good,
43.0,male,,,very happy,excellent,
51.0,female,,,not too happy,good,
45.0,female,,,pretty happy,good,
65.0,female,,,pretty happy,good,
48.0,male,,,very happy,good,
47.0,male,,,not too happy,excellent,
30.0,male,,,pretty happy,excellent,
45.0,female,,,very happy,excellent,
20.0,female,,,very happy,excellent,
29.0,female,,,pretty happy,good,
54.0,male,,,pretty happy,good,
22.0,female,,,pretty happy,good,
48.0,male,,,not too happy,fair,
32.0,female,,,pretty happy,good,
45.0,female,,,not too happy,poor,
46.0,male,,,not too happy,fair,
60.0,male,,,pretty happy,poor,
60.0,female,,,pretty happy,good,
76.0,female,,,pretty happy,good,
31.0,female,,,not too happy,good,
45.0,male,,,very happy,good,
20.0,male,,,pretty happy,excellent,
36.0,male,,,pretty happy,fair,
56.0,male,,,pretty happy,good,
22.0,female,,,pretty happy,excellent,
29.0,female,,,pretty happy,excellent,
45.0,male,,,very happy,good,
44.0,female,,,pretty happy,excellent,
45.0,male,,,pretty happy,good,
49.0,female,,,pretty happy,excellent,
82.0,female,,,very happy,excellent,
33.0,male,,,very happy,excellent,
43.0,female,,,very happy,excellent,
38.0,female,,,pretty happy,good,
51.0,female,,,very happy,good,
26.0,female,,,very happy,excellent,
19.0,male,,,very happy,good,
33.0,male,,,pretty happy,excellent,
57.0,male,,,very happy,good,
46.0,male,,,pretty happy,good,
46.0,male,,,very happy,excellent,
80.0,female,,,pretty happy,good,
55.0,female,,,pretty happy,good,
29.0,male,,,pretty happy,excellent,
29.0,female,,,pretty happy,good,
82.0,female,,,pretty happy,fair,
66.0,male,,,pretty happy,good,
68.0,male,,,pretty happy,good,
47.0,male,,,pretty happy,good,
44.0,male,,,pretty happy,excellent,
29.0,male,,,pretty happy,excellent,
53.0,female,,,very happy,excellent,
49.0,female,,,very happy,fair,
25.0,female,,,not too happy,excellent,
31.0,female,,,very happy,excellent,
29.0,male,,,very happy,good,
21.0,female,,,very happy,excellent,
25.0,female,,,very happy,good,
25.0,female,,,pretty happy,good,
21.0,male,,,not too happy,good,
27.0,male,,,pretty happy,excellent,
41.0,male,,,pretty happy,good,
58.0,male,,,pretty happy,good,
46.0,female,,,very happy,excellent,
30.0,male,,,pretty happy,excellent,
81.0,female,,,pretty happy,good,
21.0,male,,,pretty happy,fair,
31.0,male,,,pretty happy,fair,
49.0,male,,,not too happy,poor,
64.0,female,,,not too happy,poor,
75.0,female,,,not too happy,poor,
30.0,female,,,not too happy,good,
19.0,female,,,not too happy,fair,
59.0,male,,,pretty happy,good,
71.0,female,,,pretty happy,fair,
73.0,male,,,pretty happy,poor,
19.0,male,,,pretty happy,excellent,
54.0,male,,,not too happy,good,
56.0,male,,,pretty happy,good,
54.0,female,,,pretty happy,fair,
32.0,female,,,pretty happy,excellent,
63.0,female,,,pretty happy,good,
48.0,female,,,pretty happy,good,
22.0,male,,,not too happy,excellent,
70.0,male,,,very happy,good,
64.0,male,,,pretty happy,good,
23.0,female,,,pretty happy,fair,
59.0,male,,,pretty happy,good,
43.0,female,,,not too happy,fair,
59.0,male,,,very happy,excellent,
21.0,female,,,very happy,excellent,
33.0,male,,,pretty happy,good,
47.0,male,,,pretty happy,excellent,
40.0,female,,,pretty happy,good,
26.0,female,,,not too happy,excellent,
56.0,female,,,very happy,excellent,
35.0,male,,,pretty happy,,
78.0,female,,,very happy,good,
83.0,female,,,not too happy,fair,
54.0,male,,,pretty happy,good,
34.0,male,,,very happy,excellent,
33.0,female,,,pretty happy,good,
28.0,male,,,pretty happy,good,
70.0,female,,,very happy,fair,
49.0,female,,,pretty happy,good,
23.0,female,,,pretty happy,good,
47.0,female,,,pretty happy,good,
57.0,female,,,pretty happy,poor,
25.0,male,,,very happy,fair,
60.0,male,,,not too happy,excellent,
24.0,male,,,pretty happy,good,
33.0,male,,,pretty happy,fair,
25.0,male,,,pretty happy,excellent,
21.0,male,,,pretty happy,good,
43.0,male,,,very happy,excellent,
53.0,male,,,very happy,good,
43.0,male,,,very happy,excellent,
49.0,female,,,very happy,good,
36.0,female,,,very happy,excellent,
32.0,female,,,pretty happy,excellent,
34.0,female,,,very happy,excellent,
78.0,female,,,not too happy,good,
73.0,male,,,very happy,good,
73.0,female,,,not too happy,poor,
70.0,female,,,very happy,good,
27.0,male,,,very happy,good,
82.0,female,,,very happy,good,
22.0,male,,,pretty happy,good,
67.0,male,,,very happy,fair,
51.0,male,,,very happy,excellent,
54.0,male,,,pretty happy,good,
